 7.12903260e+00  2.45337562e+01  7.12903260e+00  9.18751229e-01 
 7.22903260e+00  2.47893292e+01  7.22903260e+00  9.41862261e-01 
 7.32903260e+00  2.50429740e+01  7.32903260e+00  9.65189203e-01 
 7.42903260e+00  2.52947083e+01  7.42903260e+00  9.88729778e-01 
 7.52903260e+00  2.55445498e+01  7.52903260e+00  1.01248173e+00 
 7.62903260e+00  2.57925159e+01  7.62903260e+00  1.03644283e+00 
 7.72903260e+00  2.60386238e+01  7.72903260e+00  1.06061085e+00 
 7.82903260e+00  2.62828908e+01  7.82903260e+00  1.08498361e+00 
 7.92903260e+00  2.65253338e+01  7.92903260e+00  1.10955894e+00 
 8.02903260e+00  2.67659696e+01  8.02903260e+00  1.13433468e+00 
 8.12903260e+00  2.70048149e+01  8.12903260e+00  1.15930870e+00 
 8.22903260e+00  2.72418860e+01  8.22903260e+00  1.18447890e+00 
 8.32903260e+00  2.74771995e+01  8.32903260e+00  1.20984317e+00 
 8.42903260e+00  2.77107715e+01  8.42903260e+00  1.23539946e+00 
 8.52903260e+00  2.79426180e+01  8.52903260e+00  1.26114570e+00 
 8.62903260e+00  2.81727549e+01  8.62903260e+00  1.28707986e+00 
 8.72903260e+00  2.84011979e+01  8.72903260e+00  1.31319994e+00 
 8.82903260e+00  2.86279627e+01  8.82903260e+00  1.33950393e+00 
 8.92903260e+00  2.88530646e+01  8.92903260e+00  1.36598987e+00 
 9.02903260e+00  2.90765190e+01  9.02903260e+00  1.39265579e+00 
 9.12903260e+00  2.92983411e+01  9.12903260e+00  1.41949975e+00 
 9.22903260e+00  2.95185458e+01  9.22903260e+00  1.44651985e+00 
 9.32903260e+00  2.97371481e+01  9.32903260e+00  1.47371417e+00 
 9.42903260e+00  2.99541626e+01  9.42903260e+00  1.50108083e+00 
 9.52903260e+00  3.01696040e+01  9.52903260e+00  1.52861796e+00 
 9.62903260e+00  3.03834867e+01  9.62903260e+00  1.55632372e+00 
 9.72903260e+00  3.05958250e+01  9.72903260e+00  1.58419628e+00 
 9.82903260e+00  3.08066333e+01  9.82903260e+00  1.61223381e+00 
 9.92903260e+00  3.10159254e+01  9.92903260e+00  1.64043454e+00 
 1.00290326e+01  3.12237153e+01  1.00290326e+01  1.66879666e+00 
 1.01290326e+01  3.14300169e+01  1.01290326e+01  1.69731843e+00 
 1.02290326e+01  3.16348438e+01  1.02290326e+01  1.72599810e+00 
 1.03290326e+01  3.18382096e+01  1.03290326e+01  1.75483393e+00 
 1.04290326e+01  3.20401276e+01  1.04290326e+01  1.78382422e+00 
