condenser,chip,coolant_setpoint_C,q_Wcm2,Q_W,Tsurf_C,Tsat_C,Tliq_C,Tin_C,Tout_C,P_kPa,flow
42-tube,plain,50,49.3071,544.3506,98.9358,73.0,75.5874,49.9378,53.7038,64.0,0.0388
42-tube,plain,50,53.8937,594.9861,101.2004,75.0,78.4848,50.0356,54.2734,61.0,0.0388
42-tube,plain,50,57.8784,638.977,102.7453,77.0,79.4872,50.0705,54.7837,57.0,0.0388
33-tube,microchannel,20,11.4123,125.9921,38.547,51.45,20.0376,18.1704,18.6531,88.0,0.0625
33-tube,microchannel,20,16.5905,183.1592,39.2983,51.45,20.886,18.5451,19.2414,88.0,0.0625
33-tube,microchannel,20,22.4397,247.7347,40.1808,51.45,20.207,16.7055,17.6198,88.0,0.0625
33-tube,microchannel,20,22.5483,248.9334,39.8539,51.45,20.024,16.7334,17.6439,88.0,0.0625
33-tube,microchannel,20,27.4331,302.8609,42.4104,51.45,21.5245,17.1255,18.2483,88.0,0.0625
33-tube,microchannel,20,34.688,382.9556,45.5436,51.45,23.1768,17.6412,19.0562,88.0,0.0625
33-tube,microchannel,20,42.3009,467.002,48.6552,51.45,25.0075,17.9559,19.6474,88.0,0.0625
33-tube,microchannel,20,49.537,546.889,51.0855,51.45,26.5212,18.0555,19.9984,88.0,0.0625
33-tube,microchannel,20,58.7633,648.747,54.1283,56.16,28.2739,18.1237,20.4391,85.0,0.0625
33-tube,microchannel,20,70.676,780.2632,56.5641,56.16,30.7614,18.162,20.8996,85.0,0.0625
33-tube,microchannel,20,79.6085,878.8776,58.7844,60.18,32.7109,18.1722,21.217,85.0,0.0625
33-tube,microchannel,20,89.6929,990.2102,60.9436,60.18,35.0199,18.422,21.8732,81.0,0.0625
33-tube,microchannel,20,102.1105,1127.3002,64.0546,61.87,38.4383,20.4064,24.2206,78.0,0.0625
33-tube,microchannel,20,102.158,1127.8247,63.4332,61.87,37.5088,19.614,23.3779,78.0,0.0625
33-tube,microchannel,20,113.132,1248.977,66.8597,61.87,41.7969,22.333,26.5794,78.0,0.0625
33-tube,microchannel,20,124.9246,1379.1679,69.1203,61.87,44.4901,23.2753,28.037,78.0,0.0625
33-tube,microchannel,20,136.6871,1509.0261,71.1763,63.52,47.1159,24.3107,29.5253,75.0,0.0625
33-tube,microchannel,20,149.56,1651.1422,73.4773,63.52,49.6694,25.3992,31.1531,75.0,0.0625
33-tube,microchannel,20,163.6041,1806.1896,75.8652,63.52,53.2266,26.9609,33.2331,75.0,0.0625
33-tube,microchannel,20,177.646,1961.2113,78.2927,63.52,56.2194,28.7374,35.5003,75.0,0.0625
33-tube,microchannel,40,16.2015,178.8647,49.5283,49.0,42.4467,39.4588,40.0166,88.0,0.0625
33-tube,microchannel,40,22.1094,244.0876,48.2244,49.0,43.2589,39.3561,40.2578,88.0,0.0625
33-tube,microchannel,40,28.5916,315.6513,49.7135,49.0,44.4305,39.3393,40.5255,88.0,0.0625
33-tube,microchannel,40,35.1479,388.0332,51.7549,49.0,45.9082,39.4305,40.981,88.0,0.0625
33-tube,microchannel,40,42.5709,469.9825,53.0271,49.0,47.0507,39.4181,41.3121,88.0,0.0625
33-tube,microchannel,40,50.8012,560.8458,56.4149,49.0,48.7763,39.6199,41.8547,88.0,0.0625
33-tube,microchannel,40,61.458,678.4967,59.2428,49.0,51.317,40.6764,43.3929,88.0,0.0625
33-tube,microchannel,40,71.5484,789.8948,62.8469,49.0,50.6467,38.0242,41.2962,88.0,0.0625
33-tube,microchannel,40,85.1005,939.5099,66.4471,54.0,52.8408,38.7667,42.3936,85.0,0.0625
33-tube,microchannel,40,102.1105,1127.3002,70.0546,54.0,51.4383,38.9064,42.7206,85.0,0.0625
33-tube,microchannel,40,113.132,1248.977,72.8597,54.0,54.7969,40.833,45.0794,85.0,0.0625
33-tube,microchannel,40,124.9246,1379.1679,75.1203,57.0,57.4901,41.7753,46.537,81.0,0.0625
33-tube,microchannel,40,136.6871,1509.0261,77.1763,62.0,60.1159,42.8107,48.0253,78.0,0.0625
33-tube,microchannel,40,149.56,1651.1422,79.4773,62.0,62.6694,43.8992,49.6531,78.0,0.0625
33-tube,microchannel,40,163.6041,1806.1896,81.8652,62.0,66.2266,45.4609,51.7331,78.0,0.0625
33-tube,microchannel,40,177.646,1961.2113,84.2927,62.0,69.2194,47.2374,54.0003,78.0,0.0625
42-tube,microchannel,20,5.7477,63.4546,42.018,49.0,22.0,20.0,20.7,88.0,0.041
42-tube,microchannel,20,8.602,94.9661,42.68,49.0,23.0,20.0,20.8,88.0,0.041
42-tube,microchannel,20,12.7466,140.7225,44.544,49.0,25.0,20.0,21.1,88.0,0.041
42-tube,microchannel,20,15.8355,174.8239,46.27,49.0,27.428,20.0,21.4,88.0,0.041
42-tube,microchannel,20,20.9576,231.3719,48.784,52.0,28.9815,20.0,21.8,85.0,0.041
42-tube,microchannel,20,25.5949,282.5673,51.7724,49.0,32.0253,20.0,22.0,88.0,0.041
42-tube,microchannel,20,30.3416,334.9713,54.914,49.0,36.1697,20.0,22.4,88.0,0.041
42-tube,microchannel,20,37.3014,411.8075,58.276,52.0,38.5946,20.0,22.84,85.0,0.041
42-tube,microchannel,20,45.051,497.3633,61.0868,52.0,40.9029,20.0,23.3,85.0,0.041
42-tube,microchannel,20,49.9307,551.2349,64.138,52.0,43.181,20.0,23.9,85.0,0.041
42-tube,microchannel,20,60.605,669.0792,66.7,52.0,46.8057,20.0,24.25,85.0,0.041
42-tube,microchannel,20,68.0027,750.75,69.5648,52.0,49.754,20.0,25.1,85.0,0.041
42-tube,microchannel,20,75.1502,829.6582,72.468,52.0,53.6467,20.0,25.4,85.0,0.041
42-tube,microchannel,20,85.0034,938.4375,73.956,52.0,57.0819,20.0,26.02,85.0,0.041
42-tube,microchannel,20,95.795,1057.5768,77.3,52.0,63.9035,20.0,27.2,85.0,0.041
42-tube,microchannel,20,103.8105,1146.0679,82.04,52.0,66.9384,20.0,27.6,85.0,0.041
42-tube,microchannel,30,6.4206,70.8839,43.062,58.0,33.5255,29.9133,30.631,81.0,0.0388
42-tube,microchannel,30,9.0181,99.5594,45.6893,65.0,34.8767,29.9008,30.9094,74.0,0.0388
42-tube,microchannel,30,12.0485,133.0158,48.7592,68.0,36.3125,29.9188,31.1776,71.0,0.0388
42-tube,microchannel,30,15.3983,169.9978,51.6199,70.6,38.0033,29.9974,31.5642,67.0,0.0388
42-tube,microchannel,30,19.803,218.6254,54.4308,78.0,39.7344,29.9798,31.9001,55.0,0.0388
42-tube,microchannel,30,25.0273,276.301,57.7578,78.0,41.8789,30.0115,32.3691,55.0,0.0388
42-tube,microchannel,30,28.4754,314.3682,60.638,78.0,43.7391,30.003,32.6401,55.0,0.0388
42-tube,microchannel,30,34.5054,380.94,64.3315,83.0,46.4444,29.9287,33.0266,45.0,0.0388
42-tube,microchannel,30,40.5347,447.5029,67.6269,83.0,49.0885,29.9781,33.5569,45.0,0.0388
42-tube,microchannel,30,46.3063,511.2213,71.1792,83.0,51.2959,29.8156,33.7681,45.0,0.0388
42-tube,microchannel,30,54.3279,599.7804,75.1707,87.0,54.2778,29.7245,34.2865,37.0,0.0388
